state,fec_candidate_id,selected_candidate_name,committee_id,total_receipts,total_disbursements,cash_on_hand_end_period,cash_on_hand,debts_owed_by_committee,coverage_end_date,party,party_normalized,selected_candidate,selection_method,selection_rank_within_state_party,manual_override_reason,ie_oppose_amount,ie_support_amount,ie_total_amount,ie_net_support_minus_oppose,schedule_a_rows_raw,schedule_a_unique_sub_ids,schedule_a_net_amount_raw,schedule_a_net_amount_deduped_by_sub_id,schedule_a_duplication_factor,schedule_a_suspect_repeated_page_fetch,schedule_a_manifest_status,schedule_a_manifest_pages_fetched,schedule_a_manifest_total_pages_reported,schedule_a_manifest_row_count,schedule_a_manifest_fetched_at,schedule_a_manifest_error
KS,S6KS00262,"SPIDEL NEUMANN, SANDY",C00923474,187436.34,149326.67,38109.67,38109.67,100000.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,52.0,52.0,37150.0,37150.0,1.0,False,ok,1,1,52,2026-05-06T00:39:21.923769+00:00,
AL,S6AL00435,"SWEETSER, KYLE",C00901777,154502.42,139185.61,15316.81,15316.81,16421.89,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,200.0,100.0,116621.14,58310.57,2.0,False,ok,2,2,200,2026-05-03T14:08:16.879401+00:00,
VT,S2VT00235,"WELCH, PETER",C00795252,153598.18,234438.17,1632412.01,1632412.01,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,300.0,100.0,17619.0,5873.0,3.0,True,ok,3,3,300,2026-05-06T09:49:18.045335+00:00,
MD,S4MD00483,"HOGAN, LARRY",C00869016,142947.61,296257.42,0.0,0.0,9357.08,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,800.0,100.0,29674.72,3709.34,8.0,True,ok,8,8,800,2026-05-06T00:52:54.535300+00:00,
RI,S4RI00051,"MCKAY, RAYMOND TYLER MR",C00827964,139874.63,127794.47,12418.69,12418.69,689.51,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3100.0,100.0,183675.93,5925.03,31.0,True,ok,31,31,3100,2026-05-06T07:34:51.151307+00:00,
WA,S2WA00387,"SMILEY, TIFFANY",C00776765,126915.56,416902.89,0.0,0.0,0.0,2025-12-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,400.0,100.0,9226.2,2306.55,4.0,True,ok,4,4,400,2026-05-06T09:54:22.421431+00:00,
NJ,S6NJ00438,"LEBOVICS, ROBERT",C00941534,101260.25,77955.94,23304.31,23304.31,100000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T04:12:16.637558+00:00,
DE,S6DE00198,"SHULLI, JOHN",C00933663,100728.71,15021.49,85707.22,85707.22,100000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-05T06:07:16.913685+00:00,
OR,S6OR05218,"SMITH, DAVID BROCK",C00941559,24083.96,288.96,23795.0,23795.0,28234.62,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T05:08:30.164258+00:00,
ND,S2ND00099,"HEITKAMP, HEIDI",C00505552,20099.16,19962.01,0.0,0.0,0.0,2026-03-04T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,4.0,4.0,12950.0,12950.0,1.0,False,ok,1,1,4,2026-05-06T03:42:25.496819+00:00,
VT,S2VT00292,"MALLOY, GERALD",C00809699,17908.37,33121.62,5821.38,5821.38,0.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,15.0,15.0,7020.0,7020.0,1.0,False,ok,1,1,15,2026-05-06T09:49:19.792528+00:00,
NY,S4NY00404,"SAPRAICONE, MICHAEL",C00846451,12698.81,59138.57,7935.98,7935.98,615250.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3.0,3.0,500.0,500.0,1.0,False,ok,1,1,3,2026-05-06T04:24:09.340353+00:00,
WY,S6WY00217,"BYRD, JAMES WILLARD MR.",C00938738,9653.0,8319.97,1822.79,1822.79,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T10:03:09.547237+00:00,
ID,S6ID00138,"ROTH, DAVID JORDAN",C00839720,7494.66,8180.98,-91.55,-91.55,10027.58,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,4.0,4.0,1400.0,1400.0,1.0,False,ok,1,1,4,2026-05-06T00:32:48.608407+00:00,
TN,S4TN00526,"JOHNSON, GLORIA",C00847400,6530.28,64828.83,84186.16,84186.16,0.0,2026-03-31T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,3.0,3.0,8200.0,8200.0,1.0,False,ok,1,1,3,2026-05-06T07:44:53.282725+00:00,
NM,S4NM00183,"DOMENICI, NELLA LOUISE LOUISE",C00865956,2535.8,70693.82,3499.55,3499.55,2800000.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,-237.5,-237.5,1.0,False,ok,1,1,1,2026-05-06T04:19:21.205252+00:00,
CA,S8CA00515,"BRADLEY, JAMES",C00674085,1175.01,17727.56,499.69,499.69,245.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-04T22:10:29.030084+00:00,
NE,S6NE00160,"FORBES, WILLIAM",C00943969,1000.0,1000.0,0.0,0.0,0.0,2026-04-22T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T03:44:41.824646+00:00,
HI,S2HI00155,"MCDERMOTT, ROBERT",C00800656,59.4,111.31,72.43,72.43,4500.0,2026-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-05T22:16:13.903346+00:00,
CT,S8CT00121,"COREY, MATTHEW MCKINNON",C00878561,0.0,7217.4,0.0,0.0,10000.0,2025-03-31T00:00:00,REP,REP,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-05T04:05:55.840184+00:00,
UT,S4UT00308,"GLEICH, CAROLINE",C00865253,0.0,24810.26,0.0,0.0,0.0,2025-02-20T00:00:00,DEM,DEM,True,highest_total_receipts,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ok,1,0,0,2026-05-06T09:17:38.869464+00:00,
